  score1=35, score2=13, dur=631.1, team1=bruno752, team2=bertucci, winner=bruno752, mtype=rescue_r2, mhash_short=[BOBS-HOAX], mhash_lshort=J-BOBS-HOAX, mhash=mhash=250512-2042J-BOBS-HOAX,utc=1747096954.85
  score1=30, score2=26, dur=588.4, team1=jwenger, team2=bertucci, winner=jwenger, mtype=rescue_r2, mhash_short=[SAFE-EROS], mhash_lshort=Y-SAFE-EROS, mhash=mhash=250512-2043Y-SAFE-EROS,utc=1747097001.82
  score1=24, score2=2, dur=950.3, team1=thoma904, team2=bruno752, winner=thoma904, mtype=rescue_r2, mhash_short=[NUDE-SIDE], mhash_lshort=C-NUDE-SIDE, mhash=mhash=250512-2044C-NUDE-SIDE,utc=1747097046.67
  score1=28, score2=26, dur=528.7, team1=cschnorr, team2=bertucci, winner=cschnorr, mtype=rescue_r2, mhash_short=[VAIN-DAVE], mhash_lshort=J-VAIN-DAVE, mhash=mhash=250512-2045J-VAIN-DAVE,utc=1747097109.60
  score1=31, score2=17, dur=457, team1=jwenger, team2=chthigpen, winner=jwenger, mtype=rescue_r2, mhash_short=[HUGE-TAFT], mhash_lshort=T-HUGE-TAFT, mhash=mhash=250512-2045T-HUGE-TAFT,utc=1747097151.57
  score1=32, score2=22, dur=628.8, team1=cschnorr, team2=chthigpen, winner=cschnorr, mtype=rescue_r2, mhash_short=[PALE-JOYS], mhash_lshort=Y-PALE-JOYS, mhash=mhash=250512-2046Y-PALE-JOYS,utc=1747097189.91
  score1=35, score2=18, dur=950.1, team1=jwenger, team2=cdembski, winner=jwenger, mtype=rescue_r2, mhash_short=[PAST-PESO], mhash_lshort=K-PAST-PESO, mhash=mhash=250512-2047K-PAST-PESO,utc=1747097236.90
  score1=26, score2=24, dur=399.9, team1=jcizu690, team2=cdembski, winner=jcizu690, mtype=rescue_r2, mhash_short=[NEAR-WORK], mhash_lshort=V-NEAR-WORK, mhash=mhash=250512-2048V-NEAR-WORK,utc=1747097300.00
  score1=27, score2=23, dur=473.2, team1=cdembski, team2=bertucci, winner=cdembski, mtype=rescue_r2, mhash_short=[CAGY-KATO], mhash_lshort=E-CAGY-KATO, mhash=mhash=250512-2048E-CAGY-KATO,utc=1747097335.55
  score1=30, score2=26, dur=579.1, team1=bertucci, team2=cdembski, winner=bertucci, mtype=rescue_r2, mhash_short=[GLAD-LOKI], mhash_lshort=Y-GLAD-LOKI, mhash=mhash=250512-2049Y-GLAD-LOKI,utc=1747097374.78
  score1=45, score2=4, dur=950.1, team1=thoma904, team2=bertucci, winner=thoma904, mtype=rescue_r2, mhash_short=[DEAD-BOOK], mhash_lshort=N-DEAD-BOOK, mhash=mhash=250512-2050N-DEAD-BOOK,utc=1747097419.27
  score1=47, score2=3, dur=950.1, team1=bruno752, team2=cdembski, winner=bruno752, mtype=rescue_r2, mhash_short=[TORY-BEAR], mhash_lshort=Z-TORY-BEAR, mhash=mhash=250512-2051Z-TORY-BEAR,utc=1747097482.30
  score1=48, score2=3, dur=950.3, team1=bruno752, team2=chthigpen, winner=bruno752, mtype=rescue_r2, mhash_short=[LAST-BANK], mhash_lshort=K-LAST-BANK, mhash=mhash=250512-2052K-LAST-BANK,utc=1747097545.38
  score1=52, score2=1, dur=950.1, team1=bruno752, team2=ews2011, winner=bruno752, mtype=rescue_r2, mhash_short=[FLAT-FORD], mhash_lshort=M-FLAT-FORD, mhash=mhash=250512-2053M-FLAT-FORD,utc=1747097608.46
  score1=45, score2=5, dur=950.1, team1=chthigpen, team2=adamc710, winner=chthigpen, mtype=rescue_r2, mhash_short=[TALL-OWEN], mhash_lshort=Y-TALL-OWEN, mhash=mhash=250512-2054Y-TALL-OWEN,utc=1747097671.52
  score1=39, score2=5, dur=950.2, team1=thoma904, team2=cschnorr, winner=thoma904, mtype=rescue_r2, mhash_short=[GORY-STUD], mhash_lshort=B-GORY-STUD, mhash=mhash=250512-2055B-GORY-STUD,utc=1747097734.56
  score1=35, score2=14, dur=950.1, team1=cschnorr, team2=ews2011, winner=cschnorr, mtype=rescue_r2, mhash_short=[FLAT-REST], mhash_lshort=Q-FLAT-REST, mhash=mhash=250512-2056Q-FLAT-REST,utc=1747097797.68
  score1=34, score2=22, dur=950.2, team1=jwenger, team2=cdembski, winner=jwenger, mtype=rescue_r2, mhash_short=[JIMS-AMOS], mhash_lshort=U-JIMS-AMOS, mhash=mhash=250512-2057U-JIMS-AMOS,utc=1747097860.67
  score1=30, score2=20, dur=495.4, team1=jcizu690, team2=adamc710, winner=jcizu690, mtype=rescue_r2, mhash_short=[DARK-NODE], mhash_lshort=Q-DARK-NODE, mhash=mhash=250512-2058Q-DARK-NODE,utc=1747097923.74
  score1=40, score2=6, dur=950.3, team1=bruno752, team2=bertucci, winner=bruno752, mtype=rescue_r2, mhash_short=[INKY-KURT], mhash_lshort=V-INKY-KURT, mhash=mhash=250512-2059V-INKY-KURT,utc=1747097964.01
  score1=32, score2=18, dur=469.3, team1=bertucci, team2=ews2011, winner=bertucci, mtype=rescue_r2, mhash_short=[WAVY-DUCT], mhash_lshort=I-WAVY-DUCT, mhash=mhash=250512-2100I-WAVY-DUCT,utc=1747098027.02
