  score1=50, score2=4, dur=950.3, team1=bruno752, team2=wpirates, winner=bruno752, mtype=rescue_r2, mhash_short=[SICK-TUNA], mhash_lshort=J-SICK-TUNA, mhash=mhash=250511-2305J-SICK-TUNA,utc=1747019109.72
  score1=26, score2=21, dur=391.7, team1=omg, team2=jcizu690, winner=omg, mtype=rescue_r2, mhash_short=[LIKE-FACT], mhash_lshort=U-LIKE-FACT, mhash=mhash=250511-2306U-LIKE-FACT,utc=1747019172.89
  score1=27, score2=26, dur=578.9, team1=omg, team2=chthigpen, winner=omg, mtype=rescue_r2, mhash_short=[FINE-AVEN], mhash_lshort=F-FINE-AVEN, mhash=mhash=250511-2306F-FINE-AVEN,utc=1747019208.09
  score1=28, score2=25, dur=950.3, team1=chthigpen, team2=jcizu690, winner=chthigpen, mtype=rescue_r2, mhash_short=[WIDE-REIF], mhash_lshort=L-WIDE-REIF, mhash=mhash=250511-2307L-WIDE-REIF,utc=1747019252.64
  score1=28, score2=20, dur=950.1, team1=mineswp, team2=jjdrift, winner=mineswp, mtype=rescue_r2, mhash_short=[MAIN-ELMO], mhash_lshort=E-MAIN-ELMO, mhash=mhash=250511-2308E-MAIN-ELMO,utc=1747019315.79
  score1=35, score2=12, dur=950.1, team1=omg, team2=ericadam, winner=omg, mtype=rescue_r2, mhash_short=[MERE-CAKE], mhash_lshort=C-MERE-CAKE, mhash=mhash=250511-2309C-MERE-CAKE,utc=1747019378.89
  score1=40, score2=11, dur=950.2, team1=mineswp, team2=ews2011, winner=mineswp, mtype=rescue_r2, mhash_short=[HALF-GIRL], mhash_lshort=T-HALF-GIRL, mhash=mhash=250511-2310T-HALF-GIRL,utc=1747019441.89
  score1=38, score2=3, dur=950.1, team1=jjdrift, team2=wpirates, winner=jjdrift, mtype=rescue_r2, mhash_short=[POOR-WAND], mhash_lshort=A-POOR-WAND, mhash=mhash=250511-2311A-POOR-WAND,utc=1747019504.98
  score1=28, score2=8, dur=950.2, team1=chthigpen, team2=bertucci, winner=chthigpen, mtype=rescue_r2, mhash_short=[FLAT-POET], mhash_lshort=X-FLAT-POET, mhash=mhash=250511-2312X-FLAT-POET,utc=1747019568.09
  score1=33, score2=23, dur=605.4, team1=omg, team2=jjdrift, winner=omg, mtype=rescue_r2, mhash_short=[TEDS-FRED], mhash_lshort=M-TEDS-FRED, mhash=mhash=250511-2313M-TEDS-FRED,utc=1747019631.19
  score1=35, score2=22, dur=840, team1=bertucci, team2=ews2011, winner=bertucci, mtype=rescue_r2, mhash_short=[LOUD-SLAB], mhash_lshort=K-LOUD-SLAB, mhash=mhash=250511-2314K-LOUD-SLAB,utc=1747019677.09
  score1=38, score2=19, dur=610.2, team1=wpirates, team2=chthigpen, winner=wpirates, mtype=rescue_r2, mhash_short=[CURT-ANDY], mhash_lshort=T-CURT-ANDY, mhash=mhash=250511-2315T-CURT-ANDY,utc=1747019734.69
